FileName,IsNativeEnglish,NumberCharacters,NumberWords,NumberSentences,NumberSyllables,ASW,ASL,FRES,FKGL
.\Data\english (26558).txt,1,217,33,2,43,1.303030303,16.5,79.85113636,6.220757576
.\Data\english (22219).txt,1,276,50,2,61,1.22,25,78.248,8.556
.\Data\Korea  (3312).txt,0,729,151,10,149,0.986754967,15.1,108.0290298,1.942708609
.\Data\Korea  (7702).txt,0,478,80,10,85,1.0625,8,108.8275,0.0675
.\Data\english (5940).txt,1,258,43,3,59,1.372093023,14.33333333,76.2075969,6.190697674
.\Data\english (31393).txt,1,484,81,4,87,1.074074074,20.25,95.41458333,4.981574074
.\Data\english (6578).txt,1,380,60,3,74,1.233333333,20,82.195,6.763333333
.\Data\english (20857).txt,1,254,46,2,57,1.239130435,23,78.65956522,8.00173913
.\Data\english (32412).txt,1,376,64,2,79,1.234375,32,69.926875,11.455625
.\Data\english (3507).txt,1,958,145,5,168,1.15862069,29,79.38068966,9.391724138
.\Data\english (18138).txt,1,341,68,4,63,0.926470588,17,111.2005882,1.972352941
.\Data\Korea  (6326).txt,0,564,114,11,94,0.824561404,10.36363636,126.5580144,-1.818357257
.\Data\english (1660).txt,1,852,123,4,175,1.422764228,30.75,55.25789634,13.19111789
.\Data\english (26624).txt,1,638,101,9,118,1.168316832,11.22222222,96.60484048,2.572805281
